ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
ARDT,10.8,10.76,0.0037,1.1892,569700,4,0.9897,0.399,0.0371,67.2,yf_premarket,0.11941437551463056,0.9897,0.0479571332886805,0.8,1.5,neutral,0.024848891873740765,4.5198,4.512,0.008,steady,12:47:25,2026-07-06 12:47:25
HNST,3.9,3.9,-0.0,0.9901,1545810,5,0.9065,0.1656,0.0425,62.8,yf_premarket,0.09942160544654871,0.9065,0.0551908908238446,1.0,1.5,neutral,-0.0,4.4897,,,new,12:47:25,2026-07-06 12:47:25
BYRN,7.04,6.97,0.01,1.1168,759280,5,0.8351,0.434,0.0623,58.7,yf_premarket,0.11214427730805535,0.8351,0.08171466845277964,1.0,1.5,neutral,0.0671591672263264,4.48,4.4546,0.025,steady,12:47:25,2026-07-06 12:47:25
WVE,6.34,6.26,0.0128,1.1715,3718050,4,0.9211,0.305,0.0487,60.7,yf_premarket,0.11763701725142088,0.9211,0.06349631614199597,0.8,1.5,neutral,0.08596373404969779,4.4793,4.3878,0.091,steady,12:47:25,2026-07-06 12:47:25
GTLB,31.5,32.07,-0.0178,0.5649,4889660,5,0.9301,1.4065,0.0439,65.8,yf_premarket,0.05672484084108207,0.9301,0.05706630944407233,1.0,1.5,neutral,0.0,4.4738,,,new,12:47:25,2026-07-06 12:47:25
DBX,28.04,28.56,-0.0182,0.8144,4432240,5,0.9104,0.8729,0.0306,60.5,yf_premarket,0.08177856325186271,0.9104,0.039249832551908906,1.0,1.5,neutral,0.0,4.4631,4.4737,-0.011,steady,12:47:25,2026-07-06 12:47:25
USAU,16.78,16.49,0.0176,1.1054,277830,4,0.8926,0.727,0.0441,62.9,yf_premarket,0.110999538087683,0.8926,0.05733422638981915,0.8,1.5,neutral,0.11820013431833445,4.4577,4.4298,0.028,steady,12:47:25,2026-07-06 12:47:25
HRB,40.002,40.04,-0.0009,1.1665,2212050,4,0.9759,1.209,0.0302,69.7,yf_premarket,0.11713493864599442,0.9759,0.03871399866041527,0.8,1.5,neutral,0.0,4.4469,,,new,12:47:25,2026-07-06 12:47:25
FF,4.7,4.69,0.0021,0.8111,317600,4,0.9859,0.182,0.0388,54.2,yf_premarket,0.08144719137228125,0.9859,0.05023442732752846,0.8,1.5,neutral,0.014103425117528542,4.4402,,,new,12:47:25,2026-07-06 12:47:25
DRVN,14.77,14.47,0.0207,1.9173,1133730,3,0.9072,0.4901,0.0339,57.4,yf_premarket,0.19252706203683248,0.9072,0.043670462156731406,0.6,1.5,neutral,0.13901947615849564,4.4336,4.2369,0.197,steady,12:47:25,2026-07-06 12:47:25
