ticker,premarket_price,premarket_volume,score,score_long,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,premarket_momentum_score,direction
BLK,1020.73,0,3.0466,0.0,0.0,1.262,0.0,716970,2,0.0655,23.092,0.0226,0.0,down
TROW,103.92,0,4.7256,0.0,0.0,1.3021,0.0,1926660,3,0.6275,1.802,0.0173,0.0,down
IBKR,88.69,0,5.226,0.0,0.0,1.0523,0.0,6519410,4,0.8055,3.2383,0.0365,0.0,down
SCHW,88.74,0,3.6918,0.0,0.0,1.1053,0.0,12631120,2,0.5048,2.163,0.0244,0.0,down
HOOD,90.73,0,5.8947,0.0,0.0,1.4567,0.0,29142050,4,0.8271,5.0364,0.0555,0.0,down
COIN,182.61,0,3.6787,0.0,0.0,1.0973,0.0,8241950,2,0.4896,9.767,0.0535,0.0,down
PFE,25.63,0,3.2782,0.0,0.0,1.0738,0.0,33079000,2,0.3259,0.4,0.0156,0.0,down
ZTS,77.56,0,1.8802,0.0,0.0,0.6815,0.0,7403760,0,0.4128,2.519,0.0325,0.0,down
IDXX,566.79,0,4.0896,0.0,0.0,0.9217,0.0,655740,2,0.8395,15.946,0.0281,0.0,down
BRKR,58.44,0,6.1293,0.0,0.0,1.4325,0.0,2887810,4,0.9689,2.494,0.0427,0.0,down
WAT,378.16,0,5.4061,0.0,0.0,1.404,0.0,1089350,3,0.884,12.21,0.0323,0.0,down
IQV,186.82,0,5.0239,0.0,0.0,0.7577,0.0,1854030,4,0.9248,7.078,0.0379,0.0,down
LH,256.87,0,2.929,0.0,0.0,0.9146,0.0,582980,1,0.5168,6.0519,0.0236,0.0,down
DGX,192.2,0,3.157,0.0,0.0,0.761,0.0,800880,2,0.4981,3.708,0.0193,0.0,down
ILMN,164.4,0,6.3199,0.0,0.0,1.2675,0.0,1728260,5,0.9426,5.52,0.0336,0.0,down
ALGN,169.77,0,3.5095,0.0,0.0,0.7175,0.0,1194180,2,0.6975,6.511,0.0384,0.0,down
BDX,145.33,0,3.0381,0.0,0.0,0.8163,0.0,2924180,2,0.3935,3.873,0.0266,0.0,down
MDT,73.98,0,2.4744,0.0,0.0,1.2286,0.0,11556590,1,0.0556,1.511,0.0204,0.0,down
ABT,87.78,0,3.7938,0.0,0.0,0.936,0.0,11283500,2,0.6842,1.877,0.0214,0.0,down
EW,88.16,0,5.3928,0.0,0.0,1.3967,0.0,5476840,3,0.8856,2.332,0.0265,0.0,down
BSX,47.98,0,1.8399,0.0,0.0,1.1279,0.0,25875140,0,0.0565,1.686,0.0351,0.0,down
ZBH,82.94,0,3.2368,0.0,0.0,1.1522,0.0,2346890,2,0.2411,2.173,0.0262,0.0,down
TXRH,175.4,0,3.1662,0.0,0.0,0.9861,0.0,1107290,2,0.3289,5.124,0.0292,0.0,down
DRI,201.91,0,3.6982,0.0,0.0,1.0049,0.0,1015910,2,0.5836,4.775,0.0236,0.0,down
JNJ,223.51,0,2.4355,0.0,0.0,1.0118,0.0,7946060,1,0.2006,3.7384,0.0167,0.0,down
AZN,179.71,0,3.3224,0.0,0.0,1.5269,0.0,1894350,2,0.0076,3.034,0.0169,0.0,down
BNTX,91.7,0,4.8246,0.0,0.0,1.3012,0.0,996260,4,0.4208,2.8684,0.0313,0.0,down
MRNA,46.06,0,3.5254,0.0,0.0,1.2575,0.0,4906850,2,0.2952,2.2428,0.0487,0.0,down
ARWR,75.2,0,4.7411,0.0,0.0,1.4419,0.0,1586700,3,0.516,3.4815,0.0463,0.0,down
ALNY,295.63,0,3.9363,0.0,0.0,1.2435,0.0,953790,2,0.5208,8.696,0.0294,0.0,down
BIIB,192.23,0,2.6376,0.0,0.0,0.8,0.0,1051940,1,0.4573,4.412,0.023,0.0,down
VRTX,438.4,0,3.751,0.0,0.0,0.7969,0.0,1399350,3,0.5165,9.933,0.0227,0.0,down
REGN,600.66,0,1.171,0.0,0.0,0.7158,0.0,1508580,0,0.0356,15.5771,0.0259,0.0,down
GILD,131.1,0,2.5377,0.0,0.0,0.9275,0.0,6747570,1,0.3115,3.068,0.0234,0.0,down
AMGN,329.13,0,3.5747,0.0,0.0,0.8934,0.0,2373510,3,0.3574,6.501,0.0198,0.0,down
LLY,1082.2,0,3.4881,0.0,0.0,0.8295,0.0,3244310,2,0.607,32.414,0.03,0.0,down
BMY,54.95,0,3.1674,0.0,0.0,1.702,0.0,12086500,1,0.0433,1.524,0.0277,0.0,down
MRK,115.17,0,2.6356,0.0,0.0,0.947,0.0,9931660,1,0.3454,2.797,0.0243,0.0,down
NAMM,2.08,0,14.372,0.0,0.0,7.3385,0.0,4021210,4,0.6466,0.148,0.0712,0.0,down
OPEN,5.31,0,5.117,0.0,0.0,1.2303,0.0,38080980,3,0.8529,0.3485,0.0656,0.0,down
SNDK,1761.43,0,5.7016,0.0,0.0,0.8652,0.0,11147170,5,0.9192,115.3135,0.0655,0.0,down
RDW,20.68,0,3.9308,0.0,0.0,0.7788,0.0,72675380,3,0.5675,2.6385,0.1276,0.0,down
RKLB,122.39,0,3.3132,0.0,0.0,1.2168,0.0,30511890,2,0.2002,10.7269,0.0876,0.0,down
CLOV,3.92,0,3.474,0.0,0.0,0.7125,0.0,8069650,2,0.6727,0.2351,0.06,0.0,down
ASTS,105.65,0,3.8854,0.0,0.0,0.8725,0.0,31077380,3,0.489,10.4337,0.0988,0.0,down
BULL,6.6,0,4.3503,0.0,0.0,0.8765,0.0,16330590,4,0.4885,0.386,0.0585,0.0,down
ASST,17.2,0,2.4499,0.0,0.0,1.0057,0.0,5307860,0,0.4295,1.4157,0.0823,0.0,down
