date,scan_time,ticker,pm_price,prev_close,gap_pct,pm_volume,notable_gap,rsi,macd_signal,tech_source,market_regime,event_name
2026-06-22,14:33 BST,ANIX,2.9306,2.9203,0.35,40173,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AES,14.64,14.59,0.34,127631,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARDX,6.11,6.09,0.33,69240,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ADTN,15.2601,15.2141,0.3,37779,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALLO,2.015,2.01,0.25,128998,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALC,65.15,65.0257,0.19,55449,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ACGL,91.72,91.55,0.19,18643,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMRN,16.45,16.42,0.18,12255,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ABEO,5.79,5.78,0.17,24941,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ASYS,22.35,22.3155,0.15,18477,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ADP,216.66,216.5,0.07,57993,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,APWC,1.93,1.93,-0.0,291037,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AGNC,10.385,10.39,-0.05,450122,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AEG,8.575,8.58,-0.06,174331,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ADCT,1.109,1.11,-0.09,41018,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AIB,2.21,2.2125,-0.11,61430,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,APLE,16.63,16.65,-0.12,45027,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ASC,17.05,17.07,-0.12,17624,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ATI,202.75,203.0,-0.12,35709,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ACI,13.48,13.5019,-0.16,193873,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARR,16.74,16.7684,-0.17,114442,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARI,10.8499,10.87,-0.18,65176,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AEHR,115.525,115.7308,-0.18,49028,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMPH,18.775,18.81,-0.19,19844,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALV,117.99,118.2374,-0.21,14386,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AQST,4.7,4.7102,-0.22,77106,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ATEC,8.78,8.8,-0.23,91292,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ACIW,43.985,44.09,-0.24,12449,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,APPS,8.545,8.57,-0.29,83532,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARCC,18.075,18.13,-0.3,173094,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AADX,18.94,19.0,-0.32,12710,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AON,316.66,317.73,-0.34,10515,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AAL,15.94,15.9999,-0.37,759283,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AKAM,124.49,124.9918,-0.4,150760,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AFRM,73.6201,73.92,-0.41,78051,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AFCG,3.255,3.27,-0.46,11248,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AEO,17.72,17.81,-0.51,41355,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMRX,16.21,16.3,-0.55,32541,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALK,48.99,49.27,-0.57,70058,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ADT,6.552,6.59,-0.58,84637,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARHS,7.21,7.26,-0.69,20220,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,APD,279.98,281.94,-0.7,15967,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AIRS,4.88,4.9157,-0.73,14375,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ADPT,17.57,17.7,-0.73,95116,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,APO,137.91,138.98,-0.77,38696,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ATAT,33.025,33.28,-0.77,52898,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARM,435.05,438.4211,-0.77,459209,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ABNB,141.02,142.11,-0.77,51122,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ABVX,99.2201,100.0,-0.78,113975,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMTM,21.33,21.51,-0.84,18187,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ABR,5.155,5.2,-0.87,55235,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMPX,16.21,16.3517,-0.87,196568,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ABUS,4.585,4.6266,-0.9,26878,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AROC,36.755,37.1,-0.93,17192,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ASPN,6.24,6.3,-0.95,31673,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ACB,2.94,2.97,-1.01,33043,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,APPN,20.747,21.01,-1.25,14997,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AAOI,160.25,162.3,-1.26,785198,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMCR,40.95,41.5,-1.33,70323,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ADBE,192.52,195.2799,-1.41,259335,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ABEV,3.135,3.18,-1.42,134020,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALB,158.14,160.5,-1.47,91034,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARLO,13.04,13.24,-1.51,15700,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ADSK,191.545,194.49,-1.51,90213,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AG,17.74,18.0116,-1.51,510182,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AIV,2.905,2.95,-1.53,12532,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ABT,87.37,88.7367,-1.54,11506,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMT,173.99,176.85,-1.62,58458,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMPL,6.51,6.6181,-1.63,30799,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ADMA,8.36,8.5,-1.65,47706,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AIRO,7.8465,7.98,-1.67,11035,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AA,58.375,59.472,-1.84,239085,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALGN,178.63,182.08,-1.89,10179,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AHCO,9.66,9.85,-1.93,12656,False,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ARQT,26.42,27.0,-2.15,12701,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AEM,163.59,167.2556,-2.19,92178,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALKT,14.44,14.7701,-2.23,28416,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMTX,1.9194,1.964,-2.27,19318,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMSS,2.08,2.1292,-2.31,11707,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AMBO,2.255,2.31,-2.38,18147,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,AAP,59.53,60.99,-2.39,28227,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,APP,458.0,469.3626,-2.42,165643,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ALMS,23.25,23.89,-2.68,75764,True,,,unavailable,Unknown,None
2026-06-22,14:33 BST,ATLX,3.855,3.97,-2.9,11511,True,,,unavailable,Unknown,None
