ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
CLRO,14.2,13.84,0.026,4.6615,17771690,3,0.807,2.022,0.1461,91.4,yf_premarket,1.0,0.8053061636235247,0.2708723324597529,0.6,5.0,🔥 90+,0.16009852216748768,9.0862,,,new,08:08:45,2026-07-08 08:08:45
ABVC,2.04,2.02,0.0099,2.1292,233050,5,0.8506,0.1624,0.0804,94.2,yf_premarket,0.45676284457792554,0.849288812670231,0.14788468738300262,1.0,5.0,🔥 90+,0.060960591133004935,8.5491,,,new,08:08:45,2026-07-08 08:08:45
BCAX,30.45,30.4,0.0016,1.2809,1436550,4,0.9155,1.6703,0.0549,92.5,yf_premarket,0.2747827952375844,0.9147583980631494,0.10014975664545114,0.8,5.0,🔥 90+,0.009852216748768475,8.1065,,,new,08:08:45,2026-07-08 08:08:45
AGIO,43.8,44.01,-0.0048,2.0839,1331710,2,0.9915,1.764,0.0401,91.6,yf_premarket,0.447044942615038,0.9914254009886009,0.07244477723698989,0.4,5.0,🔥 90+,0.0,8.0896,,,new,08:08:45,2026-07-08 08:08:45
AVAH,9.34,9.6,-0.0271,0.8972,2871080,4,0.9205,0.3815,0.0397,96.5,yf_premarket,0.19247023490292822,0.9198022798345606,0.07169599400973418,0.8,5.0,🔥 90+,0.0,7.9642,,,new,08:08:45,2026-07-08 08:08:45
XZO,18.72,18.45,0.0146,0.6626,275870,3,0.8697,0.9475,0.0514,90.7,yf_premarket,0.14214308698916656,0.8685564410370221,0.09359790340696368,0.6,5.0,🔥 90+,0.08990147783251232,7.732,,,new,08:08:45,2026-07-08 08:08:45
AMPL,9.31,9.16,0.0164,0.9099,2961950,5,0.9321,0.5431,0.0593,86.0,yf_premarket,0.19519467982409097,0.9315040855442349,0.10838637214526395,1.0,4.0,strong ✓,0.10098522167487686,7.3615,,,new,08:08:45,2026-07-08 08:08:45
DTIL,9.38,9.25,0.0141,1.5376,810150,4,0.8789,0.6656,0.072,89.6,yf_premarket,0.32985090636061354,0.8778371834964188,0.13216023961063272,0.8,4.0,strong ✓,0.08682266009852217,7.2468,,,new,08:08:45,2026-07-08 08:08:45
BOW,32.5,32.0,0.0156,1.3113,234650,4,0.9008,1.084,0.0339,83.9,yf_premarket,0.28130430119060384,0.8999293856552003,0.0608386372145264,0.8,4.0,strong ✓,0.09605911330049262,7.1963,,,new,08:08:45,2026-07-08 08:08:45
ABUS,5.29,5.18,0.0212,1.4391,3534680,4,0.8431,0.215,0.0415,83.1,yf_premarket,0.3087203689799421,0.841722990013114,0.07506551853238488,0.8,4.0,strong ✓,0.13054187192118227,7.1799,,,new,08:08:45,2026-07-08 08:08:45
