ticker,premarket_price,yesterday_close,gap_pct,rvol,premarket_rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,macd_signal,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
BWEN,5.15,4.78,0.07740581045005553,2.1881173806196696,0.0,622590,3,0.8450705786116384,0.5009999990463256,0.10481171068116184,,,yf_premarket,0.21915361770558767,0.8450705786116384,0.18941869782934534,0.6,0.5,blocked,1.0,4.7136,,,new,10:27:11,2026-06-17 10:27:11
BWEN,5.15,4.78,0.0774,2.1881,,622590,3,0.8451,0.501,0.1048,,,yf_premarket,0.21915187692800767,0.8451,0.18939733446837362,0.6,0.5,blocked,0.9999249352209899,4.7135,,,new,10:27:11,2026-06-17 10:27:11
EDSA,6.71,6.27,0.0702,0.6735,,287450,5,0.5607,1.032,0.1646,,,yf_premarket,0.06745523015904811,0.5607,0.2984882548387875,1.0,0.5,blocked,0.9069086621771769,4.2322,,,new,10:27:11,2026-06-17 10:27:11
EDSA,6.71,6.27,0.07017544185198989,0.6735084362497825,0.0,287450,5,0.5606557151509447,1.0319999694824218,0.164593297068866,,,yf_premarket,0.06745607510213758,0.5606557151509447,0.2984760269303161,1.0,0.5,blocked,0.9065913972604048,4.2316,,,new,10:27:11,2026-06-17 10:27:11
ARTV,9.4722,8.91,0.0631,1.07,,730390,4,0.7199,0.8523,0.0957,,,yf_premarket,0.1071671808020512,0.7199,0.1727965422380932,0.8,0.5,blocked,0.8151842818145281,4.2097,,,new,10:27:11,2026-06-17 10:27:11
ARTV,9.4722,8.91,0.06309766130368469,1.0699763140240146,0.0,730390,4,0.7198695672028055,0.8522999286651611,0.09565655928857393,,,yf_premarket,0.10716480850366718,0.7198695672028055,0.1727172949606515,0.8,0.5,blocked,0.8151540683679959,4.2096,,,new,10:27:11,2026-06-17 10:27:11
BCS,26.92,25.98,0.0362,1.2906,,5225760,4,0.8864,0.549,0.0211,,,yf_premarket,0.12926164817114696,0.8864,0.03670653120744311,0.8,0.5,blocked,0.4676651505813933,3.9865,,,new,10:27:11,2026-06-17 10:27:11
BCS,26.92,25.98,0.03618169647137567,1.29062566975904,0.0,5225760,4,0.8863632587035382,0.5489999771118164,0.021131639214207586,,,yf_premarket,0.12926421915779013,0.8863632587035382,0.03676424945155184,0.8,0.5,blocked,0.4674286886347007,3.9861,,,new,10:27:11,2026-06-17 10:27:11
DLX,25.0,23.56,0.06112056734717834,1.101522406032283,0.0,348790,3,0.7042253142759665,0.755000114440918,0.03204584599130926,,,yf_premarket,0.11032434658389917,0.7042253142759665,0.05667463176638513,0.6,0.5,blocked,0.7896121362441532,3.8867,,,new,10:27:11,2026-06-17 10:27:11
DLX,25.0,23.56,0.0611,1.1015,,348790,3,0.7042,0.755,0.032,,,yf_premarket,0.11032210247986858,0.7042,0.056590996626130596,0.6,0.5,blocked,0.7893464281912467,3.8862,,,new,10:27:11,2026-06-17 10:27:11
