ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
CXW,29.89,29.65,0.0081,1.1124,1687180,5,0.8926,1.291,0.0435,100.0,yf_premarket,0.16186485070717654,0.8924494292008812,0.061009107994795427,1.0,5.0,🔥 90+,0.042789223454833596,8.1224,8.2578,-0.135,steady,15:53:38,2026-06-23 15:53:38
GEO,29.64,29.67,-0.001,1.127,2675090,5,0.9168,1.186,0.04,97.3,yf_premarket,0.1639892904953146,0.9166833566993791,0.05594911088622235,1.0,5.0,🔥 90+,0.0,8.1073,8.2598,-0.152,steady,15:53:38,2026-06-23 15:53:38
CAST,8.93,9.84,-0.0925,0.1462,52563060,4,0.7983,1.513,0.1538,97.3,yf_premarket,0.021273499796286597,0.7980172241137593,0.2204713025878271,0.8,5.0,🔥 90+,0.0,7.5382,7.5885,-0.05,steady,15:53:38,2026-06-23 15:53:38
AVAH,8.135,7.92,0.0271,1.4837,1836800,5,0.9416,0.3125,0.0395,80.8,yf_premarket,0.21589255573016705,0.9415181253755257,0.055226254156426194,1.0,4.0,strong ✓,0.14315900686740624,7.4492,7.6403,-0.191,steady,15:53:38,2026-06-23 15:53:38
EPC,26.04,22.72,0.1461,1.7891,1052710,2,0.6988,1.2438,0.0547,86.3,yf_premarket,0.2603311797916303,0.6983777288203484,0.07720109874222929,0.4,4.0,strong ✓,0.7717908082408875,7.3835,7.886,-0.503,fading,15:53:38,2026-06-23 15:53:38
CARE,31.84,31.52,0.0102,1.0255,421740,4,0.9712,0.752,0.0239,81.4,yf_premarket,0.14922006868051918,0.971159623472862,0.03267312418678618,0.8,4.0,strong ✓,0.05388272583201268,7.0633,7.1226,-0.059,steady,15:53:38,2026-06-23 15:53:38
VCEL,40.53,40.47,0.0015,0.8935,666910,5,0.8813,1.496,0.037,85.0,yf_premarket,0.13001280484255864,0.8811335870218305,0.05161197050744542,1.0,4.0,strong ✓,0.00792393026941363,6.995,,,new,15:53:38,2026-06-23 15:53:38
FRO,42.335,41.58,0.0182,1.2969,3878480,3,0.9665,1.8833,0.0453,87.3,yf_premarket,0.18871136720796228,0.9664530342479472,0.06361139222206158,0.6,4.0,strong ✓,0.09614368726888538,6.992,7.2002,-0.208,steady,15:53:38,2026-06-23 15:53:38
GLBS,3.07,3.05,0.0066,1.6911,398370,3,0.9596,0.162,0.0531,84.5,yf_premarket,0.2460712414876899,0.959543360704987,0.0748879572068816,0.6,4.0,strong ✓,0.03486529318541997,6.9779,7.0773,-0.099,steady,15:53:38,2026-06-23 15:53:38
FTDR,71.85,71.87,-0.0003,1.6744,651280,4,0.8937,2.05,0.0285,89.5,yf_premarket,0.24364123159303885,0.8935509713599039,0.039323406100910806,0.8,4.0,strong ✓,0.0,6.9722,7.2121,-0.24,steady,15:53:38,2026-06-23 15:53:38
CNO,52.56,51.46,0.0214,0.8262,738520,4,0.8686,0.8016,0.0156,86.2,yf_premarket,0.12022001047668937,0.868415782094933,0.020673702472170017,0.8,4.0,strong ✓,0.11304807184363444,6.8971,6.9884,-0.091,steady,15:53:38,2026-06-23 15:53:38
ARQT,26.66,26.66,0.0,0.7511,2035140,4,0.9174,1.2115,0.0454,80.8,yf_premarket,0.10929224142948606,0.9172841978770279,0.06375596356802082,0.8,4.0,strong ✓,0.0,6.8304,6.9327,-0.102,steady,15:53:38,2026-06-23 15:53:38
OSW,27.675,27.1,0.0212,1.1198,906390,4,0.7532,0.8945,0.033,80.6,yf_premarket,0.16294162155869854,0.7528539955938314,0.045829116669076186,0.8,4.0,strong ✓,0.11199154780771263,6.741,,,new,15:53:38,2026-06-23 15:53:38
AROC,38.655,38.08,0.0151,0.9875,1662350,2,0.9918,1.029,0.027,80.1,yf_premarket,0.14369070484837904,0.9917885039054677,0.03715483591152234,0.4,4.0,strong ✓,0.0797675647120972,6.7373,6.7575,-0.02,steady,15:53:38,2026-06-23 15:53:38
ALHC,21.36,21.29,0.0033,0.7247,7473650,4,0.8515,1.3757,0.0646,87.0,yf_premarket,0.10545078866189396,0.8512918085319447,0.09151366199219316,0.8,4.0,strong ✓,0.017432646592709985,6.7327,6.8628,-0.13,steady,15:53:38,2026-06-23 15:53:38
FHI,59.585,60.04,-0.0076,0.8432,685510,3,0.9605,1.151,0.0192,85.2,yf_premarket,0.12269367324369942,0.9604446224714601,0.025878270926702328,0.6,4.0,strong ✓,0.0,6.7179,6.7915,-0.074,steady,15:53:38,2026-06-23 15:53:38
GBX,50.03,50.2,-0.0034,0.8578,510580,4,0.8559,1.336,0.0266,81.2,yf_premarket,0.1248181130318375,0.8556979771680352,0.036576550527685416,0.8,4.0,strong ✓,0.0,6.7169,6.8193,-0.102,steady,15:53:38,2026-06-23 15:53:38
ALOT,28.42,28.42,0.0,0.4409,422090,3,0.9817,0.828,0.0291,89.5,yf_premarket,0.0641551714102788,0.9816743440817144,0.04019083417666619,0.6,4.0,strong ✓,0.0,6.6797,6.7268,-0.047,steady,15:53:38,2026-06-23 15:53:38
AIAI,18.305,16.87,0.0851,0.2353,778940,5,0.9402,1.539,0.0912,76.5,yf_premarket,0.03423840288690996,0.9401161626276788,0.12996964001734856,1.0,3.0,good,0.4495509772847332,6.6709,6.6764,-0.006,steady,15:53:38,2026-06-23 15:53:38
AMRX,16.5172,16.11,0.0253,0.7769,2309160,3,0.8282,0.6229,0.0387,86.4,yf_premarket,0.11304638845236017,0.8279591427999199,0.05406968338875234,0.6,4.0,strong ✓,0.13365029054410987,6.653,6.7527,-0.1,steady,15:53:38,2026-06-23 15:53:38
CLDT,13.5,13.37,0.0097,0.808,554090,3,0.8848,0.402,0.0301,86.9,yf_premarket,0.1175717362202433,0.8846384938914481,0.04163654763625849,0.6,4.0,strong ✓,0.05124141574220814,6.6433,6.8098,-0.167,steady,15:53:38,2026-06-23 15:53:38
FWRD,13.495,13.71,-0.0157,0.629,1927140,4,0.8177,1.047,0.0764,81.0,yf_premarket,0.09152552237937256,0.8174444221910675,0.10857308081538239,0.8,4.0,strong ✓,0.0,6.6265,6.6969,-0.07,steady,15:53:38,2026-06-23 15:53:38
CON,28.6642,28.49,0.0061,0.66,1000290,3,0.8785,0.6405,0.0225,85.7,yf_premarket,0.0960363191898027,0.8783296615261366,0.030649125343356946,0.6,4.0,strong ✓,0.03222398309561543,6.5644,6.6604,-0.096,steady,15:53:38,2026-06-23 15:53:38
