ticker,premarket_price,yesterday_close,gap_pct,rvol,avg_volume_10d,trend_5d,breakout_score,atr_10d,volatility_score,rsi,price_source,norm_rvol,norm_breakout,norm_volatility,norm_trend,rsi_score,rsi_label,norm_gap,score,score_prev,score_trend,trend_dir,scan_time_utc,snapshot_utc
GALT,4.32,3.92,0.102,2.4577,832510,4,0.9581,0.359,0.0916,91.5,yf_premarket,0.26316240322943324,0.9581,0.15106951871657753,0.8,5.0,🔥 90+,0.2871621621621621,8.6172,8.2726,0.345,rising,14:36:12,2026-06-25 14:36:12
FCUV,5.99,4.42,0.3552,0.128,7998000,2,0.5706,0.7127,0.1612,90.0,yf_premarket,0.013705817477058816,0.5706,0.26737967914438504,0.4,5.0,🔥 90+,1.0,8.1954,8.2096,-0.014,steady,14:36:12,2026-06-25 14:36:12
AVAH,8.49,8.47,0.0024,1.9324,2223500,5,0.9123,0.3155,0.0372,90.8,yf_premarket,0.20691501322397232,0.9123,0.06016042780748662,1.0,5.0,🔥 90+,0.006756756756756756,8.1752,8.1992,-0.024,steady,14:36:12,2026-06-25 14:36:12
BOXL,3.89,4.88,-0.2029,9.3391,2870860,2,0.5475,0.6409,0.1313,91.6,yf_premarket,1.0,0.5475,0.21741310160427804,0.4,5.0,🔥 90+,0.0,8.1037,8.1152,-0.011,steady,14:36:12,2026-06-25 14:36:12
CARE,32.82,32.5,0.0098,0.9364,446280,5,0.8741,0.8,0.0246,94.8,yf_premarket,0.10026662098060841,0.8741,0.03910427807486631,1.0,5.0,🔥 90+,0.02759009009009009,7.9595,7.9442,0.015,steady,14:36:12,2026-06-25 14:36:12
AKTS,33.26,28.7,0.1589,1.0381,445130,5,0.9785,2.0306,0.0708,81.8,yf_premarket,0.1111563212729278,0.9785,0.11631016042780747,1.0,4.0,strong ✓,0.4473536036036036,7.8529,7.3962,0.457,rising,14:36:12,2026-06-25 14:36:12
REYN,26.2,25.73,0.0183,1.4721,1155330,3,0.9567,0.597,0.0232,90.5,yf_premarket,0.15762760865608033,0.9567,0.036764705882352935,0.6,5.0,🔥 90+,0.05152027027027027,7.8455,,,new,14:36:12,2026-06-25 14:36:12
ETON,34.62,33.98,0.0188,1.329,339190,4,0.8439,1.755,0.0516,90.0,yf_premarket,0.14230493302352473,0.8439,0.08422459893048127,0.8,5.0,🔥 90+,0.05292792792792793,7.8228,7.7544,0.068,steady,14:36:12,2026-06-25 14:36:12
CXW,29.685,29.8,-0.0039,0.758,1684330,5,0.8295,1.251,0.042,100.0,yf_premarket,0.08116413787195768,0.8295,0.06818181818181818,1.0,5.0,🔥 90+,0.0,7.8148,7.8184,-0.004,steady,14:36:12,2026-06-25 14:36:12
EPC,26.585,26.58,0.0002,1.1179,1353310,3,0.981,1.364,0.0513,91.7,yf_premarket,0.11970104185628164,0.981,0.08372326203208555,0.6,5.0,🔥 90+,0.0005630630630630631,7.7843,7.7878,-0.003,steady,14:36:12,2026-06-25 14:36:12
AMRX,17.57,17.27,0.0174,0.8886,2310050,3,0.9526,0.6409,0.0371,93.1,yf_premarket,0.09514835476651926,0.9526,0.05999331550802139,0.6,5.0,🔥 90+,0.04898648648648648,7.7514,7.7265,0.025,steady,14:36:12,2026-06-25 14:36:12
